id;level1;level2;level3;level3a;question;keywords
0;Information;Change of contact details;Change of contact details;;How do I arrange a name/surname change?;name, surname, personal data, contact, request, change
1;Information;Change of contact details;Change of contact details;;How do I arrange a change of contact details?;personal data, contact, request, change
2;Information;Change of contact details;Change of contact details;;How do I arrange a phone number change?;phone number, phone, personal data, contact, request, change
3;Information;Change of contact details;Change of contact details;;How do I arrange a change of e-mail/email address?;e-mail, email, e-address, contact, request, change, application, itriglav
4;Information;Change of contact details;Change of contact details;;How do I arrange a change of personal data?;address, mail, change, personal data, request, invoice, application, itriglav
5;Information;Change of contact details;Change of contact details;;How do I arrange a change of address for receiving mail?;change of data, change, payment, request, address
6;Information;Change of contact details;Change of payment method;;How do I arrange a change of payment method?;UPN form, standing order, direct debit, invoice payment, payment, e-invoice, change
7;Information;Legal procedures;Bankruptcy - individuals;;Checking customer's insurance;insurance, bankruptcy, court
8;Information;Legal procedures;Bankruptcy - individuals;;Checking debts for the client;debt, assets, bankruptcy, court
9;Information;Legal procedures;Bankruptcy - individuals;;Checking the financial situation of the client;property, policy status, bankruptcy, court
10;Information;Legal proceedings;Bankruptcy / liquidation / forced settlement of a company;;Checking the financial status for a company;assets, liquidation, settlement, bankruptcy, court
11;Information;Legal procedures;Bankruptcy / liquidation / compulsory settlement of a company;;Checking debts for a company;debt, liquidation, settlement, bankruptcy, court
12;Information;Legal procedures;Hearing, court fee, password;;Interest in the hearing;cancellation, change of hearing date, payment of court fee, password
13;Information;Legal Procedures;Data for KPK;;Request for review of contracts concluded with Triglav Insurance;review of contracts, corruption, Official Gazette, data for KPK
14;Information;Claims / payments;Execution;;Receiving an execution;execution, decree status, seizure, execution, reminder, credit, premium
15;Information;Claims / payments;Enforcement;;Checking debts;debt, status, claim, default interest, reminder, credit
16;Information;Claims / Payments;Regress Claims / Regress Debt;;Blocked account, handling of claims;blocked account, reminder, credit, claim
17;Information;Claims / payments;Overpayment of services;;Overpaid premium;overpayment, refund, amount, reference, IBAN, premium
18;Information;Claims / payments;Double premium deduction;;Double premium deduction;double deduction, overpayment, premium
19;Information;Claims / payments;Refund of services;;How can I cancel my policy?;cancellation, documentation, e-mail, costs
20;Information;Claims / payments;Refund of services;;Is the policy terminated? (No);termination, documentation, proof, policy
21;Information;Claims / payments;Refund of services;;Is the policy terminated? (Yes);termination, payment date, termination date, policy
22;Information;Claims / payments;Reminders;;Information about the reminder;reminder, policy, premium, personal insurance, policy crossing, payment
23;Information;Claims / payments;Debt status;;What is the debt status?;debt, status, payment
24;Information;Claims / payments;Debt write-off / installment payment;;What are the options for repaying the debt?;debt, payment, installments, delay, premium
25;Information;Claims / payments;Account card/IOP;;What is the status of installments/payments?;instalment status, payment status, account card
26;Information;Claims / Payments;Invoice / Payments / Refunds;;Is the invoice settled/ paid?;information, account records, reason for receipt, settled invoice
27;Information;Claims / payments;Additional payments (certificate / explanation);;What are the options for additional payments into insurance?;investment insurance, investment policy, certificate, explanation, payment, monthly premium
28;Information;Claims / Payments;Additional payments (certificate / explanation);;What are the options for a one-time payment in mixed life insurance?;mixed life insurance, one-time payment, monthly premium, certificate, explanation
29;Information;Claims / payments;Additional payments (confirmation / explanation);;How can I lower the premium with a one-time payment?;mixed life insurance, one-time payment, monthly premium, confirmation, explanation
30;Information;Claims / payments;Payment date / premium due date;;What is the deadline for paying the premium?;payment deadline, reminder, premium
31;Information;Claims / payments;Payment date / premium due date;;What are the consequences of late payment?;payment deadline, reminder, debt, claim, enforcement
32;Information;Claims / payments;Discounts;;How do I redeem a coupon?;online discount, coupons
33;Information;Claims / Payments;Triglav package;CATEGORIZATION - CANNOT CHANGE;What is the Triglav package?;Triglav package, discount, 40%
34;Information;Claims / Payments;Triglav package;;What do I gain by subscribing to the Triglav package?;Triglav package, inclusion, conditions
35;Information;Claims / Payments;Triglav package;;Which insurances can be included in the Triglav package?;Triglav package, discount, insurances
36;Information;Claims / payments;Triglav package;;How many insurance policies can I use to create my Triglav package? What about my son, who would join later?;Triglav package, inclusion, conditions
37;Information;Claims / Payments;Triglav package;;What is the highest discount I can get in the Triglav package?;
38;Information;Claims / Payments;Triglav package;;How can I collect the highest Triglav package discount?;
39;Information;Claims / payments;Triglav package;;Who can be the holder of the Triglav package?;Triglav package, holder, conditions
40;Information;Claims / Payments;Triglav package;;Can I also create a Triglav package if I only have a savings plan opened with Triglav Funds?;Triglav package, inclusion, conditions, funds
41;Information;Claims / payments;Triglav package;;How can I arrange the Triglav package discount?;Triglav package, package creation, meeting, identification number
42;Information;Claims / payments;Triglav package;;What is the amount of the Triglav package discount?;Triglav package, discount amount, property, life, health insurance, percentage, discount
43;Information;Claims / payments;Triglav package;;What does the loyalty discount in the Triglav package mean?;
44;Information;Claims / Payments;Triglav package;;What counts as a digital business category?;
45;Information;Claims / payments;Triglav package;;Can I count on the Triglav package discount regardless of the premium amount?;
46;Information;Claims / payments;Triglav package;;I have a car on leasing. I also have insurance arranged through the leasing company. Can I include this insurance in my Triglav package?;
47;Information;Claims / payments;Triglav package;;We have concluded an annual travel insurance policy online, which only starts in a week. Can I include the insurance in the Triglav package?;
48;Information;Claims / Payments;Triglav package;;What is the minimum premium amount on the policy for the insurance to count towards the Triglav package?;
49;Information;Claims / payments;Triglav package;;Who in the family is entitled to the Triglav package discount?;Triglav package, discount amount, family members, beneficiaries
50;Information;Loans;Encumbrance / Release;;Is the encumbrance settled? (yes);certificate, expiration, encumbrance, release, loan
51;Information;Loans;Vinkulation / devinkulation;;Is the vinkulation arranged? (no);certificate, duration, vinkulation, devinkulation, loan
52;Information;Loans;Vinkulation / devinkulation;;Is the devinculation settled? (yes);devinkulation, loan payment
53;Information;Loans;Vinkulation / Devinkulation;;Is the devinkulation arranged? (no);devinkulation, loan payment
54;Information;Credits;Questions / problems of borrowers;;What is the role of the insurance company in a loan?;loan, purchase, credit insurance, borrower's insurance
55;Information;Insurance policies;Information offer;;What kind of price/premium can I expect?;information offer, premium price, premium amount, coverage, competition, agent, branch, online signing
56;Information;Insurance policies;Informational offer;;How can I obtain an informational offer for insurance?;informational offer, premium price, agent, branches
57;Information;Insurance policies;Pension insurances;Individual voluntary pension insurance;Where can I get additional information about the insurance?;individual pension insurance, terms, premium price, premium amount, coverage, payout, relief, comparison, brochure
58;Information;Insurance policies;Pension insurance;Individual voluntary pension insurance;What are the options for additional payments in insurance?;additional payment, relief, income tax refund, conditions, premium amount
59;Information;Insurance policies;Pension insurance;Individual voluntary additional pension insurance;Where can I get additional information about the insurance?;individual pension insurance, conditions, premium price, premium amount, coverage, payout, relief, comparison, brochure
60;Information;Insurance policies;Pension insurance;Individual voluntary supplementary pension insurance;What are the options for additional payments to insurance?;additional payment, membership, relief, income tax refund, conditions, premium amount, maximum premium
61;Information;Insurance policies;Pension insurance;Individual voluntary additional pension insurance;What is the effect of tax relief?;tax relief, effect, informative calculation, amount of refunded income tax, pension
62;Information;Insurance policies;Pension insurance;Voluntary additional pension insurance online - I.PDPZ;How can I conclude insurance?;PDPZ, concluding insurance, options, web, branch, mail, accession statement, form
63;Information;Insurance policies;Pension insurance;Collective voluntary pension insurance - PPZ;What are the options for additional payments into insurance?;collective, pension insurance, additional payments, employer, employee
64;Information;Insurance policies;Pension insurance;Collective voluntary supplementary pension insurance - PDPZ;Where can I get additional information about insurance?;collective, pension insurance, brochure, general information, basic information
65;Information;Insurance policies;Pension insurance;Collective voluntary supplementary pension insurance - PDPZ;How can I terminate the policy? (I am employed at ZT).;policy termination, ZT employee, pension insurance
66;Information;Insurance policies;Pension insurance;Collective voluntary supplementary pension insurance - PDPZ;What are the options for early payout?;early payout, employed ZT, pension insurance
67;Information;Insurance policies;Investment and savings insurance;Investment life insurance;How to determine the insurance period?;investment, life insurance, insurance period, duration, 10 years, payout, return, conclusion
68;Information;Insurance policies;Investment and savings insurance;Investment life insurance;What does open insurance period mean?;open insurance period, investment insurance, flex
69;Information;Insurance policies;Investment and savings insurance;Single premium investment insurance;How can I submit an application for payment?;application, payment, working day, conditions
70;Information;Insurance policies;Investment and investment insurance;Abc life insurance;When can I file a request for payment?;payment, 10 years, application
71;Information;Insurance policies;Investment and savings insurances;Ilirika dynamic investment life insurance;How long does the insurance period last?;insurance period, investment insurance
72;Information;Insurance policies;Investment and savings insurance;Investment insurance flex;What are the options for additional payments into the insurance?;flex insurance, additional payment, prior notice
73;Information;Insurance policies;Investment and savings insurance;Investment insurance flex for young people;Who is the policyholder?;policyholder, young person, child, investment insurance
74;Information;Insurance policies;Investment and savings insurance;Flexible investment insurance for young people;How do I arrange authorization for making changes to the policy?;authorized person, completed authorization, itriglav, changes to the policy, statement of legal representative, flex for young people
75;Information;Insurance policies;Investment and savings insurance;Investment insurance flex for adults;What to do in case of the insured's death?;insured's death, notification procedure, beneficiary, death registry, form
76;Information;Insurance policies;Investment and investment insurance;ilirika Dynamic Flex investment insurance;How long is the insurance period?;insurance period, investment insurance, ilirika, Dynamic Flex
77;Information;Insurance policies;Investment and savings insurance;Online investment insurance flex - i.flex;How can I conclude insurance?;flex, online insurance conclusion, iflex, itriglav
78;Information;Insurance policies;Investment and savings insurance;Funds;How do I change funds?;change, funds, written request, triglav funds
79;Information;Insurance policies;Investment and investment insurance;Funds;Where can I check the details of an executed investment?;access, value, property, funds
80;Information;Insurance policies;Investment and savings insurance;Funds;How can I check the value of asset units (VEP) of funds?;VEP, assets, investment insurance, funds
81;Information;Insurance policies;Investment and investment insurances;Funds;How do I check the status of the funds?;NAV, assets, investment insurance, funds, status
82;Information;Insurance policies;Investment and investment insurance;Funds;Where can I get more information about funds?;triglav funds, information, funds
83;Information;Insurance policies;Savings and investment insurance;Funds;What is a savings plan?;savings plan, funds, Triglav funds, information
84;Information;Insurance policies;Investment and savings insurance;Funds;What are the advantages of a savings plan?;savings plan, funds, Triglav funds, advantages
85;Information;Insurance policies;Investment and savings insurance;Funds;What investment combinations can I choose from?;savings plan, funds, Triglav funds, plan selection, combinations
86;Information;Insurance policies;Vehicle insurance;Young driver insurance;What is young driver insurance related to?;young driver, car insurance, driver, AO, vehicle
87;Information;Insurance policies;Vehicle insurance;Legal protection insurance;What does car legal protection insurance offer me?;legal protection, perpetrator, repair, car insurance
88;Information;Insurance policies;Vehicle insurance;Casco insurance;What does partial combination offer me in car insurance?;partial casco, car insurance, combination
89;Information;Insurance policies;Vehicle insurance;Casco insurance;What are the benefits of Casco insurance?;casco insurance, benefits, car insurance
90;Information;Insurance policies;Vehicle insurance;Casco insurance;How do I insure an older vehicle?;casco insurance, age, car insurance, partial casco, older vehicles
91;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);How do I transfer a bonus from another insurance company?;bonus, comprehensive insurance, ownership, car insurance, transfer
92;Information;Insurance policies;Vehicle insurance;Car insurance (mandatory car insurance);What does mandatory car insurance cover?;AO, car insurance liability, mandatory insurance, damage, comprehensive insurance
93;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Is the young driver only for personal vehicles or also up to 3.5t, which can be driven with a B category?;AO, policy, young driver, personal car, cargo vehicle
94;Information;Insurance policies;Vehicle insurance;Motor TPL insurance (compulsory car insurance);Is it a problem if the driver is not the policyholder? What if the policyholder is a passenger and the driver is someone else? Is the policyholder covered for bodily injury under the TPL insurance? The terms and conditions talk about the policyholder, not the driver.;TPL, policy, young driver, bodily injury, coverage
95;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (compulsory car insurance);Young driver policy for legal entities - is an individual policy sufficient, or will the company have to conclude an additional policy for the young driver?;AO, policy, young driver
